성분명,위험도,지성,건성,민감성
페녹시에탄올,-4,0,0,0
페닐벤즈이미다졸설포닉애씨드,-3,0,0,0
페닐알라닌,-1,0,0,0
페닐트라이메티콘,-1,0,0,0
페퍼민트오일,-1,0,0,0
페퍼민트잎추출물,-1,0,0,0
페퍼민트추출물,-1,0,-5,-5
펜타소듐펜테테이트,-1,0,0,0
펜틸렌글라이콜,-1,0,0,0
편백잎추출물,0,0,0,0
포도씨오일,-1,0,0,0
포도씨추출물,-1,0,5,0
포도추출물,-1,0,0,0
포스파티딜콜린,-1,0,0,0
포스포리피드,-1,0,0,0
포타슘세틸포스페이트,-1,0,0,0
포타슘솔베이트,-3,0,0,0
포타슘아스파테이트,-1,0,0,0
포타슘하이드록사이드,-3,0,0,0
포트마리골드꽃추출물,-1,0,0,0
폴리글루타믹애씨드,-1,0,0,0
폴리글리세릴-10라우레이트,-1,0,0,0
폴리글리세릴-10미리스테이트,-1,0,0,0
폴리글리세릴-10스테아레이트,-1,0,0,0
폴리글리세릴-10올리에이트,-1,0,0,0
폴리글리세릴-2다이아이소스테아레이트,-1,0,0,0
폴리글리세릴-2다이폴리하이드록시스테아레이트,-1,0,0,0
폴리글리세릴-2스테아레이트,-1,0,0,0
폴리글리세릴-2올리에이트,-1,0,0,0
폴리글리세릴-2카프레이트,-1,0,0,0
폴리글리세릴-3다이아이소스테아레이트,-1,0,0,0
폴리글리세릴-3메틸글루코오스다이스테아레이트,-1,0,0,0
폴리글리세릴-3폴리다이메틸실록시에틸다이메티콘,-1,0,0,0
폴리글리세릴-3폴리리시놀리에이트,-1,0,0,0
폴리글리세릴-4아이소스테아레이트,-1,0,0,0
폴리글리세릴-6아이소스테아레이트,-1,0,0,0
폴리글리세릴-6폴리리시놀리에이트,-1,0,0,0
폴리메틸메타크릴레이트,-1,0,0,0
폴리메틸실세스퀴옥세인,-1,0,0,0
폴리부텐,-1,0,0,0
폴리부틸렌글라이콜/피피지-9/1코폴리머,-1,0,0,0
폴리비닐알코올,-1,0,0,0
폴리솔베이트20,-3,0,0,0
폴리솔베이트60,-3,0,0,0
폴리솔베이트80,-3,0,0,0
폴리실리콘-11,-1,0,0,0
폴리실리콘-15,-2,0,0,0
폴리실리콘-9,-1,0,0,0
폴리아미노프로필바이구아나이드,-2,0,0,0
폴리아이소부텐,-1,0,0,0
폴리아크릴레이트-13,-2,0,0,0
폴리아크릴레이트크로스폴리머-6,-1,0,0,0
폴리아크릴릭애씨드,-2,0,0,0
폴리에틸렌,-1,0,0,0
폴리하이드록시스테아레이트,0,0,0,0
폴리하이드록시스테아릭애씨드,-1,0,0,0
폴릭애씨드,-1,0,0,0
풀루란,-1,0,0,0
풍선덩굴꽃/잎/덩굴추출물,-1,0,0,0
프랑스해안송껍질추출물,-1,0,0,0
프렌치로즈꽃추출물,-1,0,0,0
프로방스장미꽃수,-1,0,0,0
프로판다이올,-1,0,0,0
프로필렌글라이콜,-3,0,5,0
프로필렌카보네이트,-1,0,0,0
프로필파라벤,-7,0,0,0
프롤린,-1,0,0,0
프룩토오스,-1,0,0,0
프룩토올리고사카라이드,-1,0,0,0
플랑크톤추출물,-1,0,0,0
피리독신에이치씨엘,-1,0,0,0
피마자씨오일,-2,0,0,0
피이지/피피지-14/7디메틸에텔,-3,0,0,0
피이지/피피지-18/18다이메티콘,-3,0,0,0
피이지/피피지-19/19다이메티콘,-3,0,0,0
피이지/피피지-20/15다이메티콘,-3,0,0,0
피이지-100스테아레이트,-3,0,0,0
피이지-10다이메티콘,-3,0,0,0
피이지-12다이메티콘,-3,0,0,0
